,owner_username,shortcode,display_url,likes_count,comments_count,dimensions.height,dimensions.width
0,wittytumblrs,CBBFgYTBqEp,https://instagram.fxds1-1.fna.fbcdn.net/v/t51.2885-15/e35/101809420_253538639269617_7084772765755396331_n.jpg?_nc_ht=instagram.fxds1-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=prgSGtyoSuMAX_e7Fkz&oh=a265d9cbe25b7d9371bf99917c5d2197&oe=5F62C274,354,2,1144,1080
1,wittytumblrs,CA3FCX7BNXD,https://instagram.fxds1-1.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/101049163_263183961706668_5267236753867699587_n.jpg?_nc_ht=instagram.fxds1-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=pC3nMWWlg2YAX85YP67&oh=bf4637730d8709f3433cf993ee8ad454&oe=5F631051,426,4,1350,1080
2,wittytumblrs,B_m78gZhfNo,https://instagram.fxds1-1.fna.fbcdn.net/v/t51.2885-15/e35/95218778_1039939076400314_4228382560524704191_n.jpg?_nc_ht=instagram.fxds1-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=AGaoamRMG1AAX8pdjsq&oh=682df1358e4adc3ff630136c2f564bd5&oe=5F61547D,450,6,480,480
3,wittytumblrs,B_ibejBJFss,https://instagram.fxds1-1.fna.fbcdn.net/v/t51.2885-15/e35/s1080x1080/94724137_2565124670409810_1043778526037983703_n.jpg?_nc_ht=instagram.fxds1-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=Zv4APaIxXy0AX_UJaai&oh=65298c485c5662d26bc4848b1be5a729&oe=5F631A94,401,3,1080,1080
4,wittytumblrs,B_fwdU6pb4h,https://instagram.fxds1-1.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/94610987_568585350433838_1962130766746723732_n.jpg?_nc_ht=instagram.fxds1-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=wnXDKoV04wAAX-g7zV7&oh=2c2782a40a606562479fc5f8c5a59324&oe=5F5FC57A,404,3,1291,1080
5,wittytumblrs,B_fQ-Jtphc4,https://instagram.fxds1-1.fna.fbcdn.net/v/t51.2885-15/e35/s1080x1080/94293621_136484091279733_1655000830322907489_n.jpg?_nc_ht=instagram.fxds1-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=GFpuMECB0VYAX83UrX_&oh=030514aad9492a04bfd7fe88e349cee4&oe=5F63589E,363,2,1080,1080
6,wittytumblrs,B_cwqAipM05,https://instagram.fxds1-1.fna.fbcdn.net/v/t51.2885-15/e35/94376918_685673395577231_1454830470214789112_n.jpg?_nc_ht=instagram.fxds1-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=I2NhB8UhDhUAX99jiv_&oh=5cf0901da59befaa15c834938d5a38b3&oe=5F62FBF3,344,2,640,640
7,wittytumblrs,B_YOGt-hDfX,https://instagram.fxds1-1.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/94368619_152756992910234_4121553856468043920_n.jpg?_nc_ht=instagram.fxds1-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=6O-CHQEHXBQAX-tpBpC&oh=acde3d746bea21fd922ca999dda79eed&oe=5F603A9C,373,6,1180,1080
8,wittytumblrs,B_YNqvdhNdX,https://instagram.fxds1-1.fna.fbcdn.net/v/t51.2885-15/e35/s1080x1080/94293423_1499229043593013_3054325915672996420_n.jpg?_nc_ht=instagram.fxds1-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=IA0eKaky5WcAX8s_4z4&oh=c7f45b51aef0549c9687a0c0bcae80eb&oe=5F62A600,303,2,1080,1080
9,wittytumblrs,B_YMH11hpYP,https://instagram.fxds1-1.fna.fbcdn.net/v/t51.2885-15/e35/s1080x1080/94839104_2912435338850669_4713401948754325859_n.jpg?_nc_ht=instagram.fxds1-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=3C4FcqKubfcAX_KsPVK&oh=d7b6fbbf8a951b9b6cfdfa44c3728314&oe=5F61F7B4,288,3,1080,1080
10,wittytumblrs,B_YBLgCh6Kl,https://instagram.fxds1-1.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/94658129_681460615936424_953417114173767752_n.jpg?_nc_ht=instagram.fxds1-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=xTHaYAu0XJkAX_ClLlQ&oh=50f7836d4f5ceadcb3c3cda6a7fe4e20&oe=5F61BB94,263,2,1165,1080
11,wittytumblrs,B_Vc2ZNhyGy,https://instagram.fxds1-1.fna.fbcdn.net/v/t51.2885-15/e35/94129222_2354517391512747_7487655408104217275_n.jpg?_nc_ht=instagram.fxds1-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=znSSoIgiyj4AX96EIJh&oh=64b1c688db512b770a652cc006229494&oe=5F617940,237,2,640,640
